scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s4,1,-7082.604863408684,11997.395136591316,0.13376068376068376,58.0,4,0.0
s4,2,-6039.022129402816,12080.977870597184,0.1951121794871795,73.0,7,3.5714285714285716
s4,3,-7229.746402940036,10930.253597059964,0.14791666666666667,0.0,4,2.75
s4,4,-7748.049246783739,12031.95075321626,0.15897435897435896,28.0,4,2.75
s4,5,2237.743202840731,19637.74320284073,0.15427350427350428,27.0,5,0.0
s4,6,2973.560019330984,24253.560019330984,0.18653846153846154,85.0,12,1.6666666666666667
s4,7,-3297.446129091204,16402.553870908796,0.1483974358974359,82.0,6,0.0
s4,8,1707.7315451159193,21927.73154511592,0.16564102564102565,75.0,9,0.5555555555555556
s4,9,-7446.623090109024,11253.376909890976,0.15384615384615385,0.0,2,0.0
s4,10,-5912.850569145761,16807.14943085424,0.13786630036630038,101.0,11,1.3636363636363635
s4,11,-7569.076066937698,12330.923933062302,0.15916666666666668,70.0,10,0.0
s4,12,-404.1892254772647,19995.810774522735,0.12307692307692308,55.0,7,4.714285714285714
s4,13,-2972.7085716639194,17327.29142833608,0.1283653846153846,50.0,6,0.0
s4,14,-8611.848582276085,10548.151417723915,0.14447115384615383,29.0,8,1.25
s4,15,-6705.26348397698,12694.73651602302,0.18493589743589745,60.0,7,4.285714285714286
s4,16,-2539.5474131217998,17080.4525868782,0.18596153846153846,75.0,11,1.0
s4,17,-15001.710367331048,4158.2896326689515,0.11217948717948718,55.0,2,0.0
s4,18,13287.733514270469,32327.73351427047,0.14358974358974358,77.0,8,0.0
s4,19,-3104.472433765488,16955.527566234512,0.2201923076923077,122.0,13,3.3076923076923075
s4,20,-50.45003239847938,18209.54996760152,0.1830128205128205,69.0,8,3.25
