run,best_obj,profit,iterations
1,20080.53119156284,38420.53119156284,5387
2,31410.601737448524,50350.60173744852,3977
3,24533.616284473253,43213.61628447325,4416
4,24935.409418904404,42595.409418904404,3185
5,34361.64913916277,51561.64913916277,3692
6,31482.393945472242,50522.39394547224,3001
7,52435.75825855561,70775.75825855561,5341
8,18249.200158022526,35369.200158022526,4473
9,20448.66784442208,39648.66784442208,3365
10,22557.563373220015,39977.563373220015,5862
11,23865.245621294795,41705.245621294795,2908
12,48673.72362848233,66053.72362848233,7752
13,26806.79822643048,44126.79822643048,5497
14,11825.394152023899,30245.3941520239,4055
15,24352.101786333602,41472.1017863336,4758
16,26170.588131673096,45090.588131673096,3638
17,41172.62568538512,59352.62568538512,3013
18,36852.18107140813,52972.18107140813,5168
19,24211.429826725776,42191.42982672578,3358
20,28237.12482815462,48857.12482815462,3310
