season,run,realised_idx,weather_label,severe,in_sample_RP,realised_profit,realised_actual_profit,n_committed_poolA,n_active_evtols,first_stage_cost,committed_missed,poolB_appeared,poolB_served,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
Sommer,1,1,W-Mod / AboveZero,0,-17247.77333611332,11708.48921016678,12068.489210166776,2,3,16800.0,0,27,2,0.115491452991453,43.0,4,0.75
Sommer,1,2,W-Mod / AboveZero,0,-17247.77333611332,4711.5507877667205,5071.550787766719,2,3,16800.0,0,31,3,0.14177350427350427,86.0,3,6.0
Sommer,1,3,W-Mild / AboveZero,0,-17247.77333611332,-2268.493843023962,-2148.493843023967,2,3,16800.0,0,35,1,0.13354700854700854,71.0,3,3.6666666666666665
Sommer,1,4,S-Mild / AboveZero,0,-17247.77333611332,8152.853976579256,8512.853976579252,2,3,16800.0,0,22,2,0.1076923076923077,116.0,2,0.0
Sommer,1,5,N-Mild / AboveZero,0,-17247.77333611332,-12163.578001230984,-11743.578001230984,2,3,16800.0,0,28,1,0.1685897435897436,131.0,4,1.75
Sommer,1,6,W-Mild / AboveZero,0,-17247.77333611332,596.5061569760373,716.5061569760364,2,3,16800.0,0,27,1,0.12008547008547009,125.0,2,2.0
Sommer,1,7,W-Mod / AboveZero,0,-17247.77333611332,2597.0556290962522,2797.055629096245,2,3,16800.0,0,19,1,0.10715811965811965,114.0,2,0.0
Sommer,1,8,N-Mild / AboveZero,0,-17247.77333611332,14111.972704617932,14371.972704617929,2,3,16800.0,0,30,2,0.1141025641025641,80.0,3,0.0
Sommer,1,9,W-Mod / AboveZero,0,-17247.77333611332,5898.820062813197,6138.820062813193,2,3,16800.0,0,31,2,0.10715811965811965,128.0,2,2.0
Sommer,1,10,E-Mild / AboveZero,0,-17247.77333611332,3823.411192108849,4303.411192108848,2,3,16800.0,0,25,4,0.18173076923076922,143.0,4,1.25
Sommer,2,1,W-Mild / AboveZero,0,-5145.1561683555265,7101.510770648094,7221.510770648092,0,4,17800.0,0,29,3,0.13397435897435897,100.0,1,5.0
Sommer,2,2,S-Mild / AboveZero,0,-5145.1561683555265,4664.408498865183,5204.408498865181,0,4,17800.0,0,30,6,0.17307692307692307,116.0,4,2.5
Sommer,2,3,S-Mod / AboveZero,0,-5145.1561683555265,17921.541641574007,18461.541641574026,0,4,17800.0,0,28,7,0.1794871794871795,226.0,2,9.5
Sommer,2,4,S-Mild / AboveZero,0,-5145.1561683555265,19365.688649007607,20005.688649007607,0,4,17800.0,0,27,7,0.21474358974358973,154.0,5,7.4
Sommer,2,5,E-Mild / AboveZero,0,-5145.1561683555265,14577.796408159906,15117.796408159913,0,4,17800.0,0,35,6,0.19230769230769232,158.0,4,11.25
Sommer,2,6,S-Mild / AboveZero,0,-5145.1561683555265,11073.376909890976,11253.376909890974,0,4,17800.0,0,28,2,0.09615384615384616,30.0,1,0.0
Sommer,2,7,E-Mod / AboveZero,0,-5145.1561683555265,10646.38351372473,10846.383513724726,0,4,17800.0,0,29,4,0.19166666666666668,57.0,3,14.666666666666666
Sommer,2,8,W-Str / AboveZero,1,-5145.1561683555265,16669.70598475866,17329.705984758657,0,4,17800.0,0,33,7,0.2286008230452675,131.0,6,11.166666666666666
Sommer,2,9,W-Mod / AboveZero,0,-5145.1561683555265,13084.654861391322,13624.654861391326,0,4,17800.0,0,33,7,0.18888888888888888,197.0,3,1.3333333333333333
Sommer,2,10,W-Mod / AboveZero,0,-5145.1561683555265,18930.63371891285,19450.633718912864,0,4,17800.0,0,24,5,0.12735042735042734,180.0,1,16.0
